,Males,m_ci_low,m_ci_high,Females,f_ci_low,f_ci_high,Persons,p_ci_low,p_ci_high
15-24,1.4,1.2,1.6,1.3,1.1,1.5,1.3,1.2,1.4
25-39,1,0.8,1.2,0.9,0.7,1.1,1,0.9,1.1
40-54,1.3,1,1.6,0.8,0.7,0.9,1,0.8,1.2
55-74,1.2,1.1,1.3,0.8,0.7,0.9,1,0.9,1.1
75 and older,1.1,0.9,1.3,0.8,0.6,1,0.9,0.7,1.1
