,Males,m_ci_low,m_ci_high,Females,f_ci_low,f_ci_high,Persons,p_ci_low,p_ci_high
15-24,1.7,1.6,1.9,1.6,1.4,1.8,1.7,1.6,1.8
25-39,1.6,1.5,1.8,1.2,1.1,1.3,1.4,1.3,1.5
40-54,1.9,1.7,2.1,1.2,1.1,1.3,1.5,1.4,1.6
55-74,1.6,1.4,1.7,1.3,1.2,1.4,1.4,1.3,1.5
75 and older,1.6,1.4,1.7,1.2,0.9,1.5,1.4,1.2,1.6
